item_id	domain_id	domain_name	dimension_id	dimension_name	facet_id	facet_name	method_family	item_format	item_text	option_a	option_b	option_c	option_d	option_e	keyed_answer	response_scale	primary_domain_id	primary_dimension_id	primary_facet_id	secondary_dimension_ids	loading_type	intended_meaning	prohibited_overlap	bank_state	use_status	validation_track
NEX-GMB-027	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-FC	Frustration Control	likert	statement	I often lose patience when tasks don't go as planned at work.							1-5 Agreement	D1	D1-ES	D1-ES-FC	D4-SR,D5-JDQ	adjacent	Measures frustration control during work setbacks.	Low standards or indifference	production	operational_allowed	calibration,discriminant
NEX-GMB-028	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-FC	Frustration Control	likert	statement	I avoid showing irritation when colleagues miss deadlines.							1-5 Agreement	D1	D1-ES	D1-ES-FC	D4-SR,D5-JDQ	adjacent	Measures ability to control irritation toward others' mistakes.	Low standards or indifference	production	operational_allowed	calibration,discriminant
NEX-GMB-029	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-OV1	Emotional Steadiness Overlay 1	forced_choice	paired_statement	Choose the statement that is more like you at work.	I focus on completing tasks steadily even if I must recover slowly afterward.	I aim to recover quickly even if it means my focus wavers briefly during tasks.				A_or_B	forced_choice_binary	D1	D1-ES	D1-ES-OV1		adjacent	Measures tradeoff preference between steady composure and rapid recovery under strain.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-030	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-OV2	Emotional Steadiness Overlay 2	forced_choice	paired_statement	Choose the statement that is more like you at work.	I keep calm under pressure by sticking to familiar methods.	I adapt my approach quickly even if it causes temporary stress.				A_or_B	forced_choice_binary	D1	D1-ES	D1-ES-OV2		adjacent	Measures tradeoff between composure through routine and adaptability under stress.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-031	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-PS	Pressure Stability	likert	statement	I maintain steady performance when facing tight deadlines.							1-5 Agreement	D1	D1-ES	D1-ES-PS	D4-RC,D5-LE	adjacent	Measures pressure stability under time constraints.	Confidence image only	production	operational_allowed	calibration,discriminant
NEX-GMB-032	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-PS	Pressure Stability	likert	statement	I stay focused and do not panic when workload suddenly increases.							1-5 Agreement	D1	D1-ES	D1-ES-PS	D4-RC,D5-LE	adjacent	Measures ability to maintain stability amid workload spikes.	Confidence image only	production	operational_allowed	calibration,discriminant
NEX-GMB-033	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-RS	Recovery Speed	likert	statement	I quickly regain my composure after a stressful meeting.							1-5 Agreement	D1	D1-ES	D1-ES-RS	D4-RC	adjacent	Measures speed of recovery from workplace stress.	Persistence only	production	operational_allowed	calibration,discriminant
NEX-GMB-034	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-RS	Recovery Speed	likert	statement	I bounce back promptly after receiving negative feedback.							1-5 Agreement	D1	D1-ES	D1-ES-RS	D4-RC	adjacent	Measures recovery speed following criticism.	Persistence only	production	operational_allowed	calibration,discriminant
NEX-GMB-035	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-ST	Stress Tolerance	likert	statement	I handle high-pressure situations without losing my calm.							1-5 Agreement	D1	D1-ES	D1-ES-ST	D4-RC,D4-SR	adjacent	Measures tolerance for stress in demanding scenarios.	Resilience Capacity as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-036	D1	Personality Architecture	D1-ES	Emotional Steadiness	D1-ES-ST	Stress Tolerance	likert	statement	I stay composed when unexpected changes disrupt my plans.							1-5 Agreement	D1	D1-ES	D1-ES-ST	D4-RC,D4-SR	adjacent	Measures stress tolerance amid sudden changes.	Resilience Capacity as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-037	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-ACC	Accountability	likert	statement	I sometimes fail to follow through on my commitments when unexpected challenges arise.							1-5 Agreement	D1	D1-IN	D1-IN-ACC	D5-ED,D5-LE	adjacent	Measures personal accountability by commitment follow-through under changing conditions	Conscientious Execution as identity	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-038	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-ACC	Accountability	likert	statement	I tend to avoid taking responsibility for mistakes I make and sometimes blame others.							1-5 Agreement	D1	D1-IN	D1-IN-ACC	D5-ED,D5-LE	adjacent	Measures accountability by owning mistakes without deflecting blame	Conscientious Execution as identity	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-039	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-FR	Fairness	likert	statement	I treat all colleagues with equal respect regardless of their role or background.							1-5 Agreement	D1	D1-IN	D1-IN-FR	D5-JDQ,D5-CC	adjacent	Measures fairness by consistent respectful treatment across roles and backgrounds	Rule regard only	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-040	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-FR	Fairness	likert	statement	I ensure decisions are based on facts and not personal preferences.							1-5 Agreement	D1	D1-IN	D1-IN-FR	D5-JDQ,D5-CC	adjacent	Measures fairness in decision-making through objectivity and fact-based reasoning	Rule regard only	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-041	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-HON	Honesty	likert	statement	I clearly communicate facts even when the truth is difficult to share.							1-5 Agreement	D1	D1-IN	D1-IN-HON	D5-CC,D5-JDQ	adjacent	Measures honesty by truthful communication despite difficulty	Purpose Drive as identity	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-042	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-HON	Honesty	likert	statement	I avoid exaggerating my achievements to gain advantage.							1-5 Agreement	D1	D1-IN	D1-IN-HON	D5-CC,D5-JDQ	adjacent	Measures honesty by refraining from overstating personal accomplishments	Purpose Drive as identity	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-043	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-HUM	Humility	likert	statement	I openly admit when I do not know the answer to a question.							1-5 Agreement	D1	D1-IN	D1-IN-HUM	D4-SA,D5-LE	adjacent	Measures humility by willingness to acknowledge knowledge limits	Low confidence interpretation	production	operational_allowed_with_restrictions	calibration,discriminant
NEX-GMB-044	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-HUM	Humility	likert	statement	I accept constructive feedback without becoming defensive.							1-5 Agreement	D1	D1-IN	D1-IN-HUM	D4-SA,D5-LE	adjacent	Measures humility through openness to feedback without defensiveness	Low confidence interpretation	production	operational_allowed_with_restrictions	calibration,discriminant
NEX-GMB-045	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-NE	Non-Exploitation	likert	statement	I avoid taking advantage of others’ mistakes for personal gain.							1-5 Agreement	D1	D1-IN	D1-IN-NE	D5-JDQ,D5-CC	adjacent	Measures non-exploitation by not capitalizing on others' errors unethically	General compliance only	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-046	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-NE	Non-Exploitation	likert	statement	I refuse to use confidential information to benefit myself or my team unfairly.							1-5 Agreement	D1	D1-IN	D1-IN-NE	D5-JDQ,D5-CC	adjacent	Measures non-exploitation by protecting confidentiality against misuse	General compliance only	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-047	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-OV1	Integrity Orientation Overlay 1	sjt	scenario_mcq	You discover a coworker has been improperly billing expenses. What is the strongest response?	Report the issue promptly to the appropriate supervisor while maintaining confidentiality.	Discuss the issue only with the coworker to give them a chance to correct it first.	Ignore it since it is not your responsibility to intervene.	Confront the coworker publicly to discourage further misconduct.	Cover for the coworker to maintain team harmony.	A	sjt_single_best	D1	D1-IN	D1-IN-OV1		adjacent	Measures integrity orientation in responding to ethical violations under pressure	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-048	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-OV2	Integrity Orientation Overlay 2	sjt	scenario_mcq	You are pressured to bend a rule to meet a deadline. What is the strongest response?	Explain the risks and offer alternative solutions that comply with the rule.	Bend the rule quietly to ensure the deadline is met on time.	Ignore the pressure and continue working as usual without changes.	Appeal directly to upper management to overrule the rule if necessary.	Delegate the decision to a less experienced team member to avoid conflict.	A	sjt_single_best	D1	D1-IN	D1-IN-OV2		adjacent	Measures integrity orientation by upholding rules under pressure with problem-solving	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed_with_restrictions	calibration,criterion
NEX-GMB-049	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-RR	Rule Regard	likert	statement	I adhere to company policies even when enforcement is unlikely.							1-5 Agreement	D1	D1-IN	D1-IN-RR	D5-JDQ,D3-SD	adjacent	Measures rule regard by consistent policy adherence regardless of oversight	Security Drive as identity	production	operational_allowed_with_restrictions	calibration,discriminant
NEX-GMB-050	D1	Personality Architecture	D1-IN	Integrity Orientation	D1-IN-RR	Rule Regard	likert	statement	I seek clarification when rules are unclear before taking action.							1-5 Agreement	D1	D1-IN	D1-IN-RR	D5-JDQ,D3-SD	adjacent	Measures rule regard by proactive clarification of ambiguous rules	Security Drive as identity	production	operational_allowed_with_restrictions	calibration,discriminant
NEX-GMB-051	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-COO	Cooperation	likert	statement	I often hesitate to share information with colleagues even when it could help team goals.							1-5 Agreement	D1	D1-IO	D1-IO-COO	D4-TC,D4-RM	adjacent	Measures willingness to share resources and information for cooperation.	Conflict avoidance only	production	operational_allowed	calibration,discriminant
NEX-GMB-052	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-COO	Cooperation	likert	statement	I usually stick to my own plans without adjusting them to accommodate others' contributions during group tasks.							1-5 Agreement	D1	D1-IO	D1-IO-COO	D4-TC,D4-RM	adjacent	Measures flexibility and accommodation in collaborative settings.	Conflict avoidance only	production	operational_allowed	calibration,discriminant
NEX-GMB-053	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-CR	Conflict Restraint	likert	statement	I keep disagreements professional and avoid personal attacks when conflicts arise.							1-5 Agreement	D1	D1-IO	D1-IO-CR	D4-RM,D4-SR	adjacent	Measures constructive management of interpersonal conflicts.	Passivity as virtue	production	operational_allowed	calibration,discriminant
NEX-GMB-054	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-CR	Conflict Restraint	likert	statement	I address tense situations calmly without escalating the conflict.							1-5 Agreement	D1	D1-IO	D1-IO-CR	D4-RM,D4-SR	adjacent	Measures ability to control emotional responses in conflicts.	Passivity as virtue	production	operational_allowed	calibration,discriminant
NEX-GMB-055	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-EMP	Empathy	likert	statement	I notice when coworkers are having a hard time and offer support.							1-5 Agreement	D1	D1-IO	D1-IO-EMP	D4-SA,D5-TC	adjacent	Measures awareness and responsiveness to others' emotional states.	Affiliation Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-056	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-EMP	Empathy	likert	statement	I consider others’ perspectives when making decisions that affect the team.							1-5 Agreement	D1	D1-IO	D1-IO-EMP	D4-SA,D5-TC	adjacent	Measures ability to understand and incorporate others’ views.	Affiliation Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-057	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-OV1	Interpersonal Orientation Overlay 1	forced_choice	paired_statement	Choose the statement that is more like you at work.	I prefer addressing team conflicts directly to find solutions quickly.	I focus on maintaining harmony in the team, even if it delays decisions.				A_or_B	forced_choice_binary	D1	D1-IO	D1-IO-OV1		adjacent	Measures preference for direct conflict resolution versus harmony preservation.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-058	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-OV2	Interpersonal Orientation Overlay 2	forced_choice	paired_statement	Choose the statement that is more like you at work.	I prioritize understanding others’ feelings before responding in tough conversations.	I focus on facts first and address feelings after decisions are made.				A_or_B	forced_choice_binary	D1	D1-IO	D1-IO-OV2		adjacent	Measures preference for emotional empathy versus fact-driven communication.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-059	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-RSP	Respect	likert	statement	I treat all colleagues with professionalism regardless of their role.							1-5 Agreement	D1	D1-IO	D1-IO-RSP	D4-TC,D5-CC	adjacent	Measures consistent respectful behavior toward others.	Culture fit interpretation	production	operational_allowed	calibration,discriminant
NEX-GMB-060	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-RSP	Respect	likert	statement	I listen carefully to others' opinions even when I disagree.							1-5 Agreement	D1	D1-IO	D1-IO-RSP	D4-TC,D5-CC	adjacent	Measures respect through open-minded listening.	Culture fit interpretation	production	operational_allowed	calibration,discriminant
NEX-GMB-061	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-TACT	Tact	likert	statement	I deliver critical feedback in a way that maintains positive relationships.							1-5 Agreement	D1	D1-IO	D1-IO-TACT	D4-RM,D4-SA	adjacent	Measures tactful communication in difficult conversations.	Social Awareness as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-062	D1	Personality Architecture	D1-IO	Interpersonal Orientation	D1-IO-TACT	Tact	likert	statement	I phrase requests to avoid offending or embarrassing others.							1-5 Agreement	D1	D1-IO	D1-IO-TACT	D4-RM,D4-SA	adjacent	Measures sensitivity and diplomacy in interaction.	Social Awareness as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-063	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-EE	Energy Expression	likert	statement	I seldom initiate conversations to engage with colleagues during work hours.							1-5 Agreement	D1	D1-SA	D1-SA-EE	D5-LE,D4-RM	adjacent	Measures how frequently a person initiates social interactions that display energetic engagement.	Leadership readiness	production	operational_allowed	calibration,discriminant
NEX-GMB-064	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-EE	Energy Expression	likert	statement	I rarely show enthusiasm openly when sharing ideas in team meetings.							1-5 Agreement	D1	D1-SA	D1-SA-EE	D5-LE,D4-RM	adjacent	Measures the extent to which a person openly displays energetic enthusiasm in group settings.	Leadership readiness	production	operational_allowed	calibration,discriminant
NEX-GMB-065	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-IP	Influence Projection	likert	statement	I confidently present my recommendations to influence team decisions.							1-5 Agreement	D1	D1-SA	D1-SA-IP	D3-ID,D5-CI	adjacent	Measures the degree to which a person projects confidence to shape team outcomes.	Influence Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-066	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-IP	Influence Projection	likert	statement	I take initiative to persuade others when I believe it benefits the project.							1-5 Agreement	D1	D1-SA	D1-SA-IP	D3-ID,D5-CI	adjacent	Measures the tendency to actively influence others for project success.	Influence Drive as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-067	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-OV1	Social Assertiveness Overlay 1	forced_choice	paired_statement	Choose the statement that is more like you at work.	I prefer to speak up early to shape discussions clearly.	I prefer to listen first and contribute when I have full information.				A_or_B	forced_choice_binary	D1	D1-SA	D1-SA-OV1		adjacent	Measures preference for proactive versus cautious social assertiveness in communication.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-068	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-OV2	Social Assertiveness Overlay 2	forced_choice	paired_statement	Choose the statement that is more like you at work.	I approach tasks with energetic directness to drive results.	I approach tasks with adaptability to respond to team needs flexibly.				A_or_B	forced_choice_binary	D1	D1-SA	D1-SA-OV2		adjacent	Measures tradeoff between energetic social assertiveness and flexible collaboration.	Dimension overlay should not collapse into image management or generic superiority signaling.	production	operational_allowed	calibration,discriminant
NEX-GMB-069	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-SC	Social Confidence	likert	statement	I feel comfortable speaking up in group discussions even when I disagree.							1-5 Agreement	D1	D1-SA	D1-SA-SC	D5-LE,D5-CI	adjacent	Measures confidence in expressing opinions in social settings despite disagreement.	Leadership Expression as identity	production	operational_allowed	calibration,discriminant,invariance
NEX-GMB-070	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-SC	Social Confidence	likert	statement	I approach new colleagues to introduce myself without hesitation.							1-5 Agreement	D1	D1-SA	D1-SA-SC	D5-LE,D5-CI	adjacent	Measures comfort and confidence initiating social contact with unfamiliar coworkers.	Leadership Expression as identity	production	operational_allowed	calibration,discriminant,invariance
NEX-GMB-071	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-VC	Visibility Comfort	likert	statement	I am comfortable being the focus when presenting my work to others.							1-5 Agreement	D1	D1-SA	D1-SA-VC	D5-LE,D3-RO	adjacent	Measures comfort with visibility during presentations or evaluations.	Reward Orientation as identity	production	operational_allowed	calibration,discriminant
NEX-GMB-072	D1	Personality Architecture	D1-SA	Social Assertiveness	D1-SA-VC	Visibility Comfort	likert	statement	I prefer to keep a low profile rather than stand out in group settings.							1-5 Agreement	D1	D1-SA	D1-SA-VC	D5-LE,D3-RO	adjacent	Measures discomfort or preference to avoid visibility in social work contexts.	Reward Orientation as identity	production	operational_allowed	calibration,discriminant
